year,quarter,average_fare,total_passengers,largest_market_share,low_fare_market_share
2011,2,233.40566699123661,672376,0.6603261927945472,0.4203067185978578
2011,3,232.01869970559372,643329,0.65648675171737,0.4227281648675172
2011,4,235.70566437007872,639436,0.65375,0.42303641732283465
2012,1,237.9351816824291,586100,0.6719064211050273,0.42599800895968143
2012,2,248.8606186069167,669235,0.6722260107160253,0.44030199707744766
2012,3,238.6271986499518,638775,0.6681677917068467,0.43696239151398264
2012,4,239.0285204567079,648408,0.668767840152236,0.43571836346336823
2013,1,242.149566065334,609941,0.6685763042418332,0.43893222818137495
2013,2,243.49039808153475,691228,0.6786235011990408,0.470537170263789
2013,3,250.31204013377925,643500,0.6740754897276636,0.4595699952221691
2013,4,243.62194015444015,660662,0.6720559845559846,0.4410279922779923
2014,1,245.3087690792713,610959,0.6591383554899065,0.42512063023141305
2014,2,256.89359653346173,704676,0.6602888781896967,0.43835820895522387
2014,3,256.3950504080653,674413,0.6595295247239558,0.448852616418627
2014,4,247.8043032384691,690060,0.6664180569185476,0.45390578999018644
2015,1,252.89277108433737,639320,0.650175702811245,0.4380672690763052
2015,2,254.43663250366032,742155,0.6405124450951685,0.4281649585163494
2015,3,247.31781581485055,724248,0.6818514946962392,0.48154291224686596
2015,4,237.3929778869779,739815,0.6873120393120393,0.4564078624078624
2016,1,241.64992055610725,676146,0.6954053128103277,0.4817553624627607
2016,2,241.24539402838963,788012,0.6914894273127753,0.4932116005873715
2016,3,241.1808070678128,754549,0.6937933619866284,0.5205003342884431
2016,4,238.16434007707127,758548,0.6976091522157996,0.5166380539499037
2017,1,240.39041297935103,706672,0.6991877581120943,0.5135619960668634
2017,2,247.3906432748538,813003,0.7010896686159844,0.5284633528265107
2017,3,237.24962945139558,774678,0.6943664581328199,0.5125450433108759
2017,4,235.43043036750484,792284,0.6959562379110251,0.5109676015473888
2018,1,238.03689450222882,728181,0.6955564140663696,0.49076592372461614
2018,2,241.37626099706745,851369,0.6966766373411535,0.5115513685239491
2018,3,238.35075808788025,805596,0.6948473201352005,0.5230665861902463
2018,4,241.45653715395824,818804,0.7071470616804273,0.5285187955318116
2019,1,235.29257871064468,740904,0.7084248875562219,0.5172107446276861
2019,2,246.32788910505838,862953,0.7018525778210117,0.522136819066148
2019,3,241.03154970760232,822988,0.7011685185185186,0.5146086257309941
2019,4,241.91284943599803,835481,0.7041219225110348,0.5142520353114272
2020,1,229.41041417165667,582517,0.7044560878243513,0.5054997005988023
2020,2,189.06601893095768,89454,0.7476768374164812,0.5632689309576837
2020,3,173.09659744408944,202483,0.7339960596379127,0.539045101171459
2020,4,180.0268838219327,257057,0.7166041802388707,0.517378990228013
2021,1,184.4942041712404,269987,0.7225048298572997,0.5202046652030735
2021,2,208.03450180691792,535411,0.7114259163655137,0.5264242643262778
2021,3,217.06474667978358,640992,0.7066579439252337,0.5132264633546483
2021,4,213.85123601220755,687012,0.7007478128179044,0.5032382502543234
2022,1,217.201625,610411,0.7015767187499999,0.50447984375
2022,2,268.06306714140385,803920,0.6991553916581893,0.5243546286876908
2022,3,253.461567239636,769086,0.7017579878665318,0.522644084934277
2022,4,259.2634961439589,795952,0.6985792802056555,0.5085041131105398
2023,1,248.38799791991678,729969,0.697603172126885,0.508831929277171
2023,2,256.9908066184074,853154,0.7027059462254396,0.5185749224405377
2023,3,241.31033787191126,803531,0.7107133131618759,0.5358025214321734
2023,4,253.22405030800823,815421,0.7134493839835729,0.5210244866529774
2024,1,257.2431601049869,743480,0.7104019947506562,0.5063830971128609
